"eta","max_depth","max_delta_step","subsample","colsample_bytree","best_itr","best_auc"
0.0326445375662297,6,1,0.754708332589362,0.671574073093943,250,0.840252
0.0313666957383975,7,2,0.777583113871515,0.508482527034357,237,0.841173
0.0143436680105515,8,2,0.77882147873519,0.944210105210077,343,0.839591
0.0141796851763502,7,0,0.933206664158497,0.754679753435776,582,0.841018
0.0215105924895033,7,2,0.764509153228719,0.820804951493628,274,0.841196
0.0332162877032533,8,2,0.926085336308461,0.820891024100129,206,0.839663
0.0370913413329981,8,1,0.911937335506082,0.659264087441843,182,0.838656
0.0171868774667382,6,2,0.881803101934493,0.718497418959159,417,0.840308
0.0395995425689034,6,1,0.828426287306938,0.72757118962938,182,0.841298
0.0260723768360913,8,2,0.732234030042309,0.783501672274433,208,0.838549
0.0353586898744106,8,2,0.95499284298392,0.917037428265903,179,0.838473
0.023091973925475,7,2,0.865746219225694,0.624666697015055,236,0.839161
0.0219114073948003,5,0,0.929246854360681,0.914351867383812,423,0.841771
0.0159174694120884,8,3,0.884589181304909,0.533332031259779,438,0.840854
0.0351580747775733,5,0,0.923790157889016,0.988105658125132,206,0.840996
0.0379392012720928,5,0,0.891006140110549,0.719473903186154,185,0.839787
0.018665377215948,8,3,0.860181484068744,0.618160580350086,376,0.838509
0.0255428197747096,7,1,0.97125723074656,0.910093839806505,269,0.840693
0.0140083347330801,5,3,0.929539321013726,0.727330562886782,560,0.842258
0.0302559930202551,7,1,0.803944160784595,0.613309403769672,235,0.840503
0.0183101370721124,8,2,0.775336583103053,0.587443715545815,361,0.839481
0.0247151618637145,8,2,0.892773314581718,0.982688628430478,252,0.839276
0.0196903734793887,5,3,0.876719847281929,0.677236074421089,442,0.841156
0.0135040529863909,7,1,0.748020069256891,0.732327744036447,564,0.840294
0.0280046288459562,6,1,0.971300413864665,0.785049412320368,268,0.841285
0.0294086449849419,8,0,0.929935707375407,0.986302624195814,214,0.839187
0.0137826882279478,8,0,0.739102022293955,0.650304818151053,496,0.838327
0.0354072447726503,6,0,0.854958662663121,0.534075636279304,227,0.841419
0.0382097293133847,7,3,0.825989539127331,0.671229214628693,181,0.840842
0.029125663859304,8,0,0.745573686589487,0.920472015810665,223,0.83941
0.039781385534443,8,3,0.95734575182898,0.537157776860986,184,0.840694
0.0192082524788566,7,3,0.857637141963933,0.783368283561431,332,0.841668
0.0337958209821954,8,1,0.710133687469643,0.643970289384015,212,0.837547
0.0231959275808185,5,1,0.729425109571312,0.900360111803748,382,0.841841
0.0126664453372359,5,0,0.807985938643105,0.857799264022615,659,0.841638
0.0210934303165413,5,1,0.814286374088842,0.982490934685338,347,0.839172
0.0162019966426305,7,1,0.970934998118319,0.904445000698324,358,0.840612
0.0212466208147816,6,1,0.784521625342313,0.869507767870091,348,0.839882
0.0230848722602241,8,3,0.746818352164701,0.621983049714472,290,0.84032
0.0258898524916731,5,1,0.721449620223138,0.66137578265043,308,0.840489
0.0202897179522552,5,2,0.789155206554569,0.868504891551565,414,0.841533
0.0247004828113131,6,3,0.872443685722537,0.838775550147984,278,0.841681
0.0297921308781952,5,3,0.84960921440972,0.823534045242704,252,0.841232
0.0225454090046696,8,2,0.948294913428836,0.706241242333781,299,0.838481
0.0344601764040999,7,2,0.791678202606272,0.841782880679239,173,0.840079
0.027125502647832,6,0,0.773359850808047,0.860146746060345,242,0.841163
0.0185516793397255,8,3,0.704470527116209,0.922298038729932,305,0.838831
0.0117620870191604,6,3,0.889194474574178,0.915455686866771,653,0.84076
0.0280902714724652,7,0,0.905489436131902,0.563061116309836,275,0.839776
0.0351538656512275,7,3,0.938163349423558,0.550570015923586,199,0.842218
0.0195677426317707,5,2,0.913019482223317,0.741963967457414,423,0.839456
0.0184699284448288,7,3,0.746231429558247,0.744164879624732,350,0.840902
0.0399120116350241,6,2,0.916693554027006,0.657512168374378,182,0.841484
0.0197914510173723,6,2,0.852898752198089,0.717983144242316,457,0.840826
0.0296525315451436,7,1,0.817395646166988,0.757916124374606,243,0.839478
0.0150742417457514,8,1,0.914380095137749,0.594032423452008,462,0.840123
0.0198518994939514,7,2,0.96751051747473,0.926901262355968,248,0.839308
0.0256999479373917,6,3,0.959741334617138,0.666683065085672,267,0.841546
0.0244756657653488,6,2,0.788881060546264,0.680910632594023,250,0.840701
0.0392585172317922,7,2,0.978983504283242,0.547121965426486,159,0.840261
0.0325660572829656,8,2,0.886897809749935,0.747600622870959,194,0.840089
0.0294007142516784,7,3,0.714066906867083,0.913008425009903,182,0.840879
0.0322373869270086,6,3,0.908003293096553,0.864407573789358,195,0.840342
0.0133377948356792,7,1,0.758722842002753,0.905075694369152,500,0.838842
0.0245119838952087,8,3,0.86705917961197,0.608269634621683,242,0.840025
0.0239650792279281,6,3,0.739760569233913,0.862020247431938,307,0.84099
0.0335367943160236,7,1,0.84893523968989,0.756117332656868,183,0.840759
0.0163816226227209,8,1,0.756182563710026,0.729146762001328,427,0.838524
0.0338640453363769,5,2,0.757110281989444,0.519216292072088,258,0.841039
0.0221693186461926,8,2,0.903445139466785,0.594123342018575,303,0.841123
0.0306058145570569,6,2,0.761078927638009,0.804498389081564,270,0.840472
0.0100466160662472,6,0,0.781369283446111,0.603150773053058,820,0.842638
0.024070977170486,6,2,0.875178108778782,0.746942527096253,283,0.840219
0.0280794979608618,7,2,0.700534655363299,0.85715864660684,178,0.838996
0.0294473752239719,5,0,0.865864903389011,0.518777712378651,293,0.841263
0.0267288432666101,6,2,0.792530525173061,0.774829365939368,270,0.841382
0.0123186442861333,5,2,0.74153196308529,0.731247484320775,657,0.842174
0.0327853836445138,8,3,0.860024266208056,0.904938369425945,185,0.837866
0.0285427892324515,5,0,0.725658499312121,0.535494579614606,286,0.841486
